"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6178	"f"	"cg30Fxw2CY"	3	7	30	2	1	"right"	3	3	2	"down"	401	1	0	0	180	0	"2015-10-15T22:42:23.026Z"
6179	"s"	"Zh1MLlISAE"	8	8	76	2	1	"wait"	7	3	0	"up"	607	1	0	0	334	0	"2015-10-15T22:51:09.454Z"
6180	"f"	"cg30Fxw2CY"	3	8	31	2	1	"right"	3	3	2	"down"	293	1	0	0	145	0	"2015-10-15T22:42:23.627Z"
6181	"f"	"8vfXyBuTAC"	3	0	18	0	1	"wait"	0	4	1	"up"	6500	1	0	0	187	0	"2015-10-15T22:50:58.836Z"
6182	"f"	"cg30Fxw2CY"	3	9	32	2	1	"right"	3	3	2	"down"	448	1	0	0	123	0	"2015-10-15T22:42:24.383Z"
6183	"f"	"m9ncUQfmjD"	0	1	1	0	1	"right"	0	3	1	"left"	1794	0	0	0	717	2	"2015-10-15T22:51:22.249Z"
6184	"s"	"Zh1MLlISAE"	8	9	77	2	1	"wait"	7	3	1	"down"	1355	1	0	0	1010	2	"2015-10-15T22:51:11.127Z"
6185	"s"	"Zh1MLlISAE"	8	10	78	2	1	"right"	7	3	0	"up"	561	1	0	0	331	0	"2015-10-15T22:51:12.006Z"
6186	"f"	"cg30Fxw2CY"	3	10	33	2	1	"down"	3	3	2	"down"	1712	0	0	0	146	0	"2015-10-15T22:42:26.401Z"
6187	"f"	"m9ncUQfmjD"	0	2	2	1	1	"up"	0	2	1	"up"	1345	0	0	0	389	1	"2015-10-15T22:51:23.967Z"
6188	"s"	"Zh1MLlISAE"	8	11	79	2	1	"wait"	7	3	0	"up"	598	1	0	0	336	0	"2015-10-15T22:51:12.922Z"
6189	"f"	"8vfXyBuTAC"	3	1	19	0	1	"left"	0	4	2	"left"	3055	0	0	0	203	0	"2015-10-15T22:51:02.217Z"
6190	"f"	"cg30Fxw2CY"	3	11	34	2	0	"right"	3	3	1	"left"	650	0	0	0	150	0	"2015-10-15T22:42:27.360Z"
6191	"f"	"cg30Fxw2CY"	3	12	35	3	0	"right"	3	2	1	"left"	205	0	0	0	128	0	"2015-10-15T22:42:27.873Z"
6192	"s"	"Zh1MLlISAE"	8	12	80	2	1	"wait"	7	3	1	"right"	775	1	0	0	337	0	"2015-10-15T22:51:14.014Z"
6193	"f"	"m9ncUQfmjD"	0	3	3	1	2	"down"	0	2	2	"left"	1069	0	0	0	267	0	"2015-10-15T22:51:25.351Z"
6194	"f"	"cg30Fxw2CY"	3	13	36	4	0	"up"	3	1	1	"left"	154	0	1	1	125	0	"2015-10-15T22:42:28.338Z"
6195	"s"	"Zh1MLlISAE"	8	13	81	2	1	"right"	7	4	1	"right"	664	0	0	0	331	0	"2015-10-15T22:51:14.995Z"
6196	"f"	"UzcusTNxF2"	7	4	59	2	1	"up"	7	3	1	"wait"	5978	1	0	0	580	0	"2015-10-15T22:51:17.620Z"
6197	"f"	"8vfXyBuTAC"	3	2	20	0	1	"right"	0	3	2	"left"	1635	0	0	0	203	0	"2015-10-15T22:51:04.169Z"
6198	"f"	"m9ncUQfmjD"	0	4	4	1	1	"right"	0	1	2	"left"	1435	0	0	0	1098	4	"2015-10-15T22:51:27.108Z"
6199	"f"	"UzcusTNxF2"	7	5	60	2	2	"right"	7	3	1	"left"	730	0	0	0	519	0	"2015-10-15T22:51:18.680Z"
6200	"f"	"m9ncUQfmjD"	0	5	5	2	1	"right"	0	0	2	"wait"	766	1	0	0	704	2	"2015-10-15T22:51:28.206Z"
