"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6654	"s"	"EaivrqabCG"	8	0	50	0	1	"right"	2	4	1	"wait"	979	1	0	0	355	0	"2015-10-15T22:55:56.149Z"
6655	"f"	"8vfXyBuTAC"	10	6	68	3	1	"right"	5	1	1	"left"	1112	0	1	1	501	2	"2015-10-15T22:53:25.973Z"
6656	"f"	"m9ncUQfmjD"	6	7	70	1	0	"right"	6	2	1	"right"	408	0	0	0	231	0	"2015-10-15T22:53:48.353Z"
6657	"f"	"UzcusTNxF2"	18	2	140	2	1	"right"	18	3	1	"wait"	822	1	0	0	571	0	"2015-10-15T22:53:39.568Z"
6658	"f"	"m9ncUQfmjD"	6	8	71	2	0	"right"	6	3	1	"left"	255	0	0	0	217	0	"2015-10-15T22:53:48.952Z"
6659	"s"	"EaivrqabCG"	8	1	51	1	1	"right"	2	4	1	"left"	1068	0	0	0	382	0	"2015-10-15T22:55:57.535Z"
6660	"f"	"m9ncUQfmjD"	6	9	72	3	0	"right"	6	2	1	"left"	271	0	0	0	202	0	"2015-10-15T22:53:49.556Z"
6661	"f"	"cg30Fxw2CY"	14	3	166	2	1	"wait"	13	3	2	"down"	1534	1	0	0	1198	4	"2015-10-15T22:44:52.472Z"
6662	"f"	"UzcusTNxF2"	18	3	141	2	1	"down"	18	3	1	"left"	1042	0	0	0	573	0	"2015-10-15T22:53:40.955Z"
6663	"f"	"m9ncUQfmjD"	6	10	73	4	0	"up"	6	1	1	"left"	454	0	1	1	335	0	"2015-10-15T22:53:50.347Z"
6664	"f"	"cg30Fxw2CY"	14	4	167	2	1	"wait"	13	3	1	"up"	872	1	0	0	280	0	"2015-10-15T22:44:53.656Z"
6665	"s"	"Zh1MLlISAE"	16	18	163	3	1	"wait"	15	4	1	"up"	4659	1	0	0	4247	6	"2015-10-15T22:53:39.611Z"
6666	"s"	"EaivrqabCG"	8	2	52	2	1	"right"	2	3	1	"left"	1321	1	0	0	396	0	"2015-10-15T22:55:59.171Z"
6667	"f"	"UzcusTNxF2"	18	4	142	2	0	"right"	18	2	1	"wait"	959	1	0	0	575	0	"2015-10-15T22:53:42.257Z"
6668	"f"	"cg30Fxw2CY"	14	5	168	2	1	"right"	13	3	2	"left"	327	0	0	0	248	0	"2015-10-15T22:44:54.291Z"
6669	"s"	"EaivrqabCG"	8	3	53	2	1	"wait"	2	3	1	"wait"	867	1	0	0	393	0	"2015-10-15T22:56:00.353Z"
6670	"f"	"cg30Fxw2CY"	14	6	169	3	1	"right"	13	2	2	"down"	471	0	1	0	269	0	"2015-10-15T22:44:55.071Z"
6671	"f"	"UzcusTNxF2"	18	5	143	3	0	"right"	18	2	1	"left"	738	0	0	0	557	0	"2015-10-15T22:53:43.333Z"
6672	"s"	"Zh1MLlISAE"	16	19	164	3	1	"right"	15	4	2	"down"	2220	1	0	0	1738	2	"2015-10-15T22:53:42.150Z"
6673	"f"	"UzcusTNxF2"	18	6	144	4	0	"up"	18	1	1	"left"	744	0	1	1	573	0	"2015-10-15T22:53:44.424Z"
6674	"s"	"Zh1MLlISAE"	16	20	165	3	1	"right"	15	4	2	"down"	993	1	0	0	672	0	"2015-10-15T22:53:43.459Z"
6675	"f"	"m9ncUQfmjD"	7	0	74	0	1	"right"	7	4	1	"left"	2007	0	0	0	195	0	"2015-10-15T22:53:54.926Z"
6676	"s"	"EaivrqabCG"	8	4	54	2	1	"right"	2	3	1	"left"	2808	1	0	0	384	0	"2015-10-15T22:56:03.479Z"
6677	"f"	"cg30Fxw2CY"	15	0	170	0	1	"right"	14	4	1	"left"	509	0	0	0	287	0	"2015-10-15T22:44:58.148Z"
6678	"f"	"m9ncUQfmjD"	7	1	75	1	1	"right"	7	3	1	"left"	253	1	0	0	207	0	"2015-10-15T22:53:55.496Z"
6679	"s"	"Zh1MLlISAE"	16	21	166	3	1	"down"	15	4	2	"down"	860	0	0	0	622	0	"2015-10-15T22:53:44.643Z"
6680	"f"	"cg30Fxw2CY"	15	1	171	1	1	"right"	14	3	1	"right"	319	0	0	0	243	0	"2015-10-15T22:44:58.778Z"
6681	"f"	"m9ncUQfmjD"	7	2	76	1	1	"right"	7	3	1	"left"	239	1	0	0	204	0	"2015-10-15T22:53:56.054Z"
6682	"f"	"8vfXyBuTAC"	11	0	69	0	1	"right"	6	4	1	"down"	5356	0	0	0	188	0	"2015-10-15T22:53:33.931Z"
6683	"f"	"UzcusTNxF2"	19	0	145	0	1	"right"	19	4	1	"right"	886	0	0	0	552	0	"2015-10-15T22:53:47.892Z"
6684	"s"	"EaivrqabCG"	8	5	55	2	1	"wait"	2	3	1	"left"	986	1	0	0	378	0	"2015-10-15T22:56:04.783Z"
6685	"f"	"m9ncUQfmjD"	7	3	77	1	1	"right"	7	3	1	"left"	322	1	0	0	227	0	"2015-10-15T22:53:56.701Z"
6686	"f"	"cg30Fxw2CY"	15	2	172	2	1	"right"	14	4	1	"left"	669	1	0	0	477	1	"2015-10-15T22:44:59.760Z"
6687	"f"	"m9ncUQfmjD"	7	4	78	1	1	"down"	7	3	1	"left"	441	0	0	0	271	0	"2015-10-15T22:53:57.464Z"
6688	"f"	"UzcusTNxF2"	19	1	146	1	1	"right"	19	4	1	"left"	717	0	0	0	536	0	"2015-10-15T22:53:48.994Z"
6689	"f"	"8vfXyBuTAC"	11	1	70	1	1	"right"	6	4	0	"left"	1536	0	0	0	203	0	"2015-10-15T22:53:35.789Z"
6690	"s"	"Zh1MLlISAE"	16	22	167	3	0	"right"	15	4	1	"left"	1832	0	0	0	1571	1	"2015-10-15T22:53:46.794Z"
6691	"f"	"m9ncUQfmjD"	7	5	79	1	0	"right"	7	2	1	"right"	342	0	0	0	219	0	"2015-10-15T22:53:58.117Z"
6692	"f"	"m9ncUQfmjD"	7	6	80	2	0	"right"	7	3	1	"left"	265	0	0	0	216	0	"2015-10-15T22:53:58.721Z"
6693	"f"	"UzcusTNxF2"	19	2	147	2	1	"down"	19	3	1	"left"	798	0	0	0	593	0	"2015-10-15T22:53:50.161Z"
6694	"s"	"EaivrqabCG"	8	6	56	2	1	"right"	2	3	1	"wait"	2509	1	0	0	380	0	"2015-10-15T22:56:07.603Z"
6695	"f"	"m9ncUQfmjD"	7	7	81	3	0	"right"	7	2	1	"left"	409	0	0	0	262	0	"2015-10-15T22:53:59.453Z"
6696	"f"	"cg30Fxw2CY"	15	3	173	2	1	"right"	14	4	1	"left"	2527	1	0	0	1765	6	"2015-10-15T22:45:02.594Z"
6697	"f"	"m9ncUQfmjD"	7	8	82	4	0	"up"	7	1	1	"left"	280	0	1	1	214	0	"2015-10-15T22:54:00.062Z"
6698	"s"	"xU9jhFf4Ot"	0	3	3	0	1	"right"	0	2	2	"wait"	13744	1	0	0	9553	5	"2015-10-15T22:53:49.518Z"
6699	"f"	"8vfXyBuTAC"	11	2	71	2	1	"wait"	6	3	0	"left"	2130	1	0	0	172	0	"2015-10-15T22:53:38.234Z"
6700	"f"	"cg30Fxw2CY"	15	4	174	2	1	"right"	14	4	1	"left"	1085	1	0	0	271	0	"2015-10-15T22:45:03.992Z"
6701	"s"	"Zh1MLlISAE"	16	23	168	4	0	"up"	15	3	1	"left"	3183	0	1	0	2784	3	"2015-10-15T22:53:50.302Z"
6702	"f"	"8vfXyBuTAC"	11	3	72	2	1	"wait"	6	2	0	"left"	961	1	0	0	188	0	"2015-10-15T22:53:39.521Z"
6703	"f"	"cg30Fxw2CY"	15	5	175	2	1	"wait"	14	4	1	"left"	621	1	0	0	256	0	"2015-10-15T22:45:04.923Z"
6704	"f"	"UzcusTNxF2"	19	3	148	2	0	"right"	19	2	1	"left"	745	0	0	0	550	0	"2015-10-15T22:53:51.228Z"
6705	"s"	"EaivrqabCG"	8	7	57	2	1	"wait"	2	3	1	"wait"	2415	1	0	0	402	0	"2015-10-15T22:56:10.338Z"
6706	"f"	"cg30Fxw2CY"	15	6	176	2	1	"right"	14	3	1	"up"	662	0	0	0	262	0	"2015-10-15T22:45:05.895Z"
6707	"f"	"UzcusTNxF2"	19	4	149	3	0	"right"	19	1	1	"wait"	715	1	0	0	561	0	"2015-10-15T22:53:52.277Z"
6708	"f"	"8vfXyBuTAC"	11	4	73	2	1	"right"	6	1	0	"down"	1264	0	0	0	172	0	"2015-10-15T22:53:41.105Z"
6709	"f"	"UzcusTNxF2"	19	5	150	4	0	"up"	19	1	1	"left"	767	0	1	1	548	0	"2015-10-15T22:53:53.366Z"
6710	"f"	"m9ncUQfmjD"	8	0	83	0	1	"right"	8	4	1	"left"	853	0	0	0	256	0	"2015-10-15T22:54:03.504Z"
6711	"f"	"cg30Fxw2CY"	15	7	177	3	1	"right"	14	3	2	"wait"	568	1	1	0	272	0	"2015-10-15T22:45:06.771Z"
6712	"f"	"m9ncUQfmjD"	8	1	84	1	1	"right"	8	3	1	"left"	241	1	0	0	216	0	"2015-10-15T22:54:04.068Z"
6713	"s"	"xU9jhFf4Ot"	0	4	4	1	1	"right"	0	2	2	"wait"	2446	1	0	0	1539	0	"2015-10-15T22:53:52.305Z"
6714	"f"	"m9ncUQfmjD"	8	2	85	1	1	"right"	8	3	1	"left"	327	1	0	0	282	0	"2015-10-15T22:54:04.708Z"
6715	"f"	"8vfXyBuTAC"	11	5	74	3	1	"wait"	6	1	0	"up"	1440	1	0	0	657	3	"2015-10-15T22:53:42.863Z"
6716	"f"	"m9ncUQfmjD"	8	3	86	1	1	"down"	8	3	1	"left"	357	0	0	0	238	0	"2015-10-15T22:54:05.384Z"
6717	"f"	"m9ncUQfmjD"	8	4	87	1	0	"right"	8	2	1	"up"	357	0	0	0	201	0	"2015-10-15T22:54:06.067Z"
6718	"f"	"8vfXyBuTAC"	11	6	75	3	1	"right"	6	1	1	"left"	968	0	1	1	491	2	"2015-10-15T22:53:44.158Z"
6719	"f"	"m9ncUQfmjD"	8	5	88	2	0	"right"	8	2	2	"left"	366	0	0	0	193	0	"2015-10-15T22:54:06.812Z"
6720	"f"	"cg30Fxw2CY"	16	0	178	0	1	"right"	15	4	1	"left"	635	0	0	0	288	0	"2015-10-15T22:45:09.975Z"
6721	"s"	"Zh1MLlISAE"	17	0	169	0	1	"right"	16	4	1	"wait"	3015	1	0	0	613	0	"2015-10-15T22:53:55.893Z"
6722	"s"	"EaivrqabCG"	8	8	58	2	1	"right"	2	3	1	"wait"	4839	1	0	0	468	0	"2015-10-15T22:56:15.493Z"
6723	"f"	"m9ncUQfmjD"	8	6	89	3	0	"right"	8	1	2	"left"	398	0	0	0	268	0	"2015-10-15T22:54:07.525Z"
6724	"f"	"cg30Fxw2CY"	16	1	179	1	1	"right"	15	3	1	"wait"	341	1	0	0	233	0	"2015-10-15T22:45:10.627Z"
6725	"s"	"EaivrqabCG"	8	9	59	2	1	"right"	2	3	1	"wait"	436	1	0	0	409	0	"2015-10-15T22:56:16.253Z"
6726	"s"	"xU9jhFf4Ot"	0	5	5	2	1	"right"	0	2	2	"left"	3616	0	0	0	2995	1	"2015-10-15T22:53:56.659Z"
6727	"f"	"m9ncUQfmjD"	8	7	90	4	0	"up"	8	0	2	"down"	431	0	1	1	278	0	"2015-10-15T22:54:08.272Z"
6728	"s"	"Zh1MLlISAE"	17	1	170	1	1	"right"	16	4	1	"up"	831	0	0	0	716	0	"2015-10-15T22:53:57.060Z"
6729	"s"	"EaivrqabCG"	8	10	60	2	1	"right"	2	3	1	"wait"	850	1	0	0	466	0	"2015-10-15T22:56:17.414Z"
6730	"f"	"cg30Fxw2CY"	16	2	180	2	1	"right"	15	3	1	"wait"	1974	1	0	0	273	0	"2015-10-15T22:45:12.910Z"
6731	"f"	"8vfXyBuTAC"	12	0	76	0	1	"right"	7	4	1	"left"	1129	0	0	0	176	0	"2015-10-15T22:53:47.886Z"
6732	"s"	"Zh1MLlISAE"	17	2	171	2	1	"right"	16	4	2	"up"	1798	0	0	0	1694	1	"2015-10-15T22:53:59.177Z"
6733	"f"	"cg30Fxw2CY"	16	3	181	2	1	"wait"	15	3	1	"left"	582	1	0	0	268	0	"2015-10-15T22:45:13.802Z"
6734	"s"	"EaivrqabCG"	8	11	61	2	1	"wait"	2	3	1	"wait"	1756	1	0	0	446	0	"2015-10-15T22:56:19.489Z"
6735	"f"	"cg30Fxw2CY"	16	4	182	2	1	"wait"	15	3	1	"left"	611	1	0	0	271	0	"2015-10-15T22:45:14.721Z"
6736	"f"	"m9ncUQfmjD"	9	0	91	0	1	"right"	9	4	1	"left"	1279	0	0	0	197	0	"2015-10-15T22:54:12.174Z"
6737	"f"	"8vfXyBuTAC"	12	1	77	1	1	"right"	7	3	1	"down"	1757	0	0	0	156	0	"2015-10-15T22:53:49.961Z"
6738	"s"	"EaivrqabCG"	8	12	62	2	1	"down"	2	3	1	"wait"	1034	1	0	0	445	0	"2015-10-15T22:56:20.831Z"
6739	"s"	"Zh1MLlISAE"	17	3	172	3	1	"right"	16	4	2	"down"	1972	1	0	0	590	0	"2015-10-15T22:54:01.468Z"
6740	"f"	"m9ncUQfmjD"	9	1	92	1	1	"right"	9	3	1	"left"	327	1	0	0	251	0	"2015-10-15T22:54:12.821Z"
6741	"f"	"cg30Fxw2CY"	16	5	183	2	1	"wait"	15	3	1	"up"	1250	1	0	0	972	3	"2015-10-15T22:45:16.281Z"
6742	"f"	"m9ncUQfmjD"	9	2	93	1	1	"down"	9	3	1	"left"	591	0	0	0	233	0	"2015-10-15T22:54:13.731Z"
6743	"s"	"Zh1MLlISAE"	17	4	173	3	1	"down"	16	4	2	"down"	884	0	0	0	619	0	"2015-10-15T22:54:02.671Z"
6744	"f"	"m9ncUQfmjD"	9	3	94	1	0	"right"	9	2	1	"left"	236	0	0	0	227	0	"2015-10-15T22:54:14.284Z"
6745	"f"	"8vfXyBuTAC"	12	2	78	2	1	"wait"	7	3	0	"left"	2161	1	0	0	172	0	"2015-10-15T22:53:52.440Z"
6746	"f"	"m9ncUQfmjD"	9	4	95	2	0	"right"	9	1	1	"down"	259	0	0	0	243	0	"2015-10-15T22:54:14.876Z"
6747	"s"	"Zh1MLlISAE"	17	5	174	3	0	"right"	16	4	1	"left"	806	0	0	0	609	0	"2015-10-15T22:54:03.795Z"
6748	"f"	"m9ncUQfmjD"	9	5	96	3	0	"right"	9	1	0	"up"	344	0	0	0	313	0	"2015-10-15T22:54:15.538Z"
6749	"f"	"cg30Fxw2CY"	16	6	184	2	1	"right"	15	3	2	"down"	1887	1	0	0	1710	6	"2015-10-15T22:45:18.479Z"
6750	"f"	"8vfXyBuTAC"	12	3	79	2	1	"right"	7	2	0	"left"	987	0	0	0	189	0	"2015-10-15T22:53:53.752Z"
6751	"s"	"Zh1MLlISAE"	17	6	175	4	0	"up"	16	3	1	"right"	878	1	0	0	627	0	"2015-10-15T22:54:04.992Z"
6752	"f"	"m9ncUQfmjD"	9	6	97	4	0	"up"	9	1	1	"left"	396	0	1	1	232	0	"2015-10-15T22:54:16.257Z"
6753	"s"	"xU9jhFf4Ot"	0	6	6	3	1	"right"	0	1	2	"wait"	8094	1	1	0	7478	4	"2015-10-15T22:54:05.181Z"
6754	"f"	"8vfXyBuTAC"	12	4	80	3	1	"wait"	7	1	0	"left"	1703	1	0	0	656	3	"2015-10-15T22:53:55.766Z"
6755	"s"	"EaivrqabCG"	8	13	63	2	0	"right"	2	3	1	"left"	5551	0	0	0	450	0	"2015-10-15T22:56:26.689Z"
6756	"f"	"cg30Fxw2CY"	16	7	185	2	1	"right"	15	3	2	"down"	2518	1	0	0	280	0	"2015-10-15T22:45:21.310Z"
6757	"f"	"cg30Fxw2CY"	16	8	186	2	1	"down"	15	3	2	"down"	619	0	0	0	266	0	"2015-10-15T22:45:22.240Z"
6758	"s"	"Zh1MLlISAE"	17	7	176	4	0	"wait"	16	3	1	"right"	3401	1	0	0	3126	3	"2015-10-15T22:54:08.710Z"
6759	"f"	"cg30Fxw2CY"	16	9	187	2	0	"right"	15	3	1	"left"	299	0	0	0	242	0	"2015-10-15T22:45:22.851Z"
6760	"f"	"m9ncUQfmjD"	10	0	98	0	1	"right"	10	4	1	"left"	1266	0	0	0	189	0	"2015-10-15T22:54:20.135Z"
6761	"s"	"EaivrqabCG"	8	14	64	3	0	"right"	2	2	1	"left"	1606	0	0	0	443	0	"2015-10-15T22:56:28.610Z"
6762	"f"	"cg30Fxw2CY"	16	10	188	3	0	"right"	15	2	1	"left"	332	0	0	0	238	0	"2015-10-15T22:45:23.494Z"
6763	"f"	"m9ncUQfmjD"	10	1	99	1	1	"right"	10	3	1	"left"	384	1	0	0	267	0	"2015-10-15T22:54:20.836Z"
6764	"f"	"cg30Fxw2CY"	16	11	189	4	0	"up"	15	1	1	"left"	272	0	1	1	250	0	"2015-10-15T22:45:24.076Z"
6765	"f"	"8vfXyBuTAC"	12	5	81	3	1	"right"	7	0	0	"up"	2757	0	1	1	500	2	"2015-10-15T22:53:58.849Z"
6766	"f"	"m9ncUQfmjD"	10	2	100	1	1	"right"	10	3	1	"left"	417	1	0	0	235	0	"2015-10-15T22:54:21.573Z"
6767	"s"	"EaivrqabCG"	8	15	65	4	0	"up"	2	1	1	"left"	1456	0	1	1	865	1	"2015-10-15T22:56:30.376Z"
6768	"f"	"m9ncUQfmjD"	10	3	101	1	1	"right"	10	3	1	"left"	354	1	0	0	201	0	"2015-10-15T22:54:22.323Z"
6769	"f"	"m9ncUQfmjD"	10	4	102	1	1	"right"	10	3	1	"left"	231	1	0	0	218	0	"2015-10-15T22:54:22.884Z"
6770	"s"	"Zh1MLlISAE"	17	8	177	4	0	"wait"	16	4	1	"down"	3199	1	0	0	2700	4	"2015-10-15T22:54:12.227Z"
6771	"f"	"m9ncUQfmjD"	10	5	103	1	1	"right"	10	3	1	"left"	795	1	0	0	187	0	"2015-10-15T22:54:24.005Z"
6772	"f"	"cg30Fxw2CY"	17	0	190	0	1	"right"	16	4	1	"down"	459	0	0	0	220	0	"2015-10-15T22:45:27.104Z"
6773	"f"	"m9ncUQfmjD"	10	6	104	1	1	"right"	10	3	1	"left"	282	1	0	0	228	0	"2015-10-15T22:54:24.654Z"
6774	"f"	"8vfXyBuTAC"	13	0	82	0	1	"right"	8	4	1	"down"	1147	0	0	0	176	0	"2015-10-15T22:54:02.592Z"
6775	"f"	"cg30Fxw2CY"	17	1	191	1	1	"right"	16	4	0	"up"	314	0	0	0	239	0	"2015-10-15T22:45:27.731Z"
6776	"f"	"m9ncUQfmjD"	10	7	105	1	1	"down"	10	3	1	"left"	318	0	0	0	243	0	"2015-10-15T22:54:25.293Z"
6777	"s"	"Zh1MLlISAE"	17	9	178	4	0	"wait"	16	4	1	"up"	1556	1	0	0	1226	1	"2015-10-15T22:54:14.099Z"
6778	"f"	"m9ncUQfmjD"	10	8	106	1	0	"right"	10	2	1	"left"	273	0	0	0	199	0	"2015-10-15T22:54:25.889Z"
6779	"s"	"EaivrqabCG"	9	0	66	0	1	"right"	3	4	1	"wait"	1297	1	0	0	476	0	"2015-10-15T22:56:34.242Z"
6780	"f"	"cg30Fxw2CY"	17	2	192	2	1	"right"	16	4	1	"left"	1159	1	0	0	231	0	"2015-10-15T22:45:29.199Z"
6781	"f"	"8vfXyBuTAC"	13	1	83	1	1	"right"	8	4	0	"left"	1380	0	0	0	172	0	"2015-10-15T22:54:04.295Z"
6782	"f"	"m9ncUQfmjD"	10	9	107	2	0	"right"	10	1	1	"down"	337	0	0	0	263	0	"2015-10-15T22:54:26.545Z"
6783	"s"	"Zh1MLlISAE"	17	10	179	4	0	"up"	16	4	2	"left"	1381	0	1	0	1169	1	"2015-10-15T22:54:15.800Z"
6784	"f"	"m9ncUQfmjD"	10	10	108	3	0	"right"	10	1	0	"left"	268	0	0	0	256	0	"2015-10-15T22:54:27.133Z"
6785	"f"	"cg30Fxw2CY"	17	3	193	2	1	"wait"	16	4	1	"left"	516	1	0	0	260	0	"2015-10-15T22:45:30.024Z"
6786	"s"	"xU9jhFf4Ot"	1	0	7	0	1	"right"	1	4	1	"left"	5564	0	0	0	3306	1	"2015-10-15T22:54:14.871Z"
6787	"s"	"EaivrqabCG"	9	1	67	1	1	"right"	3	4	1	"left"	1013	0	0	0	465	0	"2015-10-15T22:56:35.575Z"
6788	"f"	"m9ncUQfmjD"	10	11	109	4	0	"up"	10	0	0	"up"	343	0	1	1	205	0	"2015-10-15T22:54:27.799Z"
6789	"f"	"8vfXyBuTAC"	13	2	84	2	1	"wait"	8	3	0	"left"	896	1	0	0	188	0	"2015-10-15T22:54:05.512Z"
6790	"f"	"cg30Fxw2CY"	17	4	194	2	1	"wait"	16	3	1	"right"	630	1	0	0	251	0	"2015-10-15T22:45:30.964Z"
6791	"f"	"cg30Fxw2CY"	17	5	195	2	1	"right"	16	4	1	"left"	352	1	0	0	227	0	"2015-10-15T22:45:31.624Z"
6792	"s"	"EaivrqabCG"	9	2	68	2	1	"right"	3	3	1	"wait"	1112	1	0	0	444	0	"2015-10-15T22:56:37.000Z"
6793	"s"	"xU9jhFf4Ot"	1	1	8	1	1	"right"	1	3	1	"up"	2644	0	0	0	1649	0	"2015-10-15T22:54:17.906Z"
6794	"f"	"cg30Fxw2CY"	17	6	196	2	1	"right"	16	4	1	"left"	540	1	0	0	279	0	"2015-10-15T22:45:32.475Z"
6795	"s"	"EaivrqabCG"	9	3	69	2	1	"wait"	3	3	1	"left"	990	1	0	0	443	0	"2015-10-15T22:56:38.303Z"
6796	"f"	"cg30Fxw2CY"	17	7	197	2	1	"right"	16	4	1	"left"	350	1	0	0	240	0	"2015-10-15T22:45:33.132Z"
6797	"f"	"8vfXyBuTAC"	13	3	85	2	1	"right"	8	2	0	"left"	2679	0	0	0	172	0	"2015-10-15T22:54:08.509Z"
6798	"s"	"Zh1MLlISAE"	18	0	180	0	1	"right"	17	4	1	"down"	1249	0	0	0	754	0	"2015-10-15T22:54:19.630Z"
6799	"f"	"cg30Fxw2CY"	17	8	198	2	1	"wait"	16	4	1	"left"	386	1	0	0	239	0	"2015-10-15T22:45:33.828Z"
6800	"f"	"m9ncUQfmjD"	11	0	110	0	1	"right"	11	4	1	"left"	1101	0	0	0	225	0	"2015-10-15T22:54:31.467Z"
6801	"s"	"xU9jhFf4Ot"	1	2	9	2	1	"right"	1	3	2	"down"	2632	1	0	0	1623	0	"2015-10-15T22:54:20.864Z"
6802	"f"	"cg30Fxw2CY"	17	9	199	2	1	"down"	16	3	1	"wait"	533	1	0	0	277	0	"2015-10-15T22:45:34.675Z"
6803	"s"	"EaivrqabCG"	9	4	70	2	1	"right"	3	3	1	"wait"	1479	1	0	0	455	0	"2015-10-15T22:56:40.108Z"
6804	"s"	"Zh1MLlISAE"	18	1	181	1	1	"right"	17	4	0	"up"	743	0	0	0	648	0	"2015-10-15T22:54:20.693Z"
6805	"f"	"m9ncUQfmjD"	11	1	111	1	1	"right"	11	3	1	"left"	300	1	0	0	219	0	"2015-10-15T22:54:32.101Z"
6806	"f"	"cg30Fxw2CY"	17	10	200	2	0	"right"	16	3	1	"left"	356	0	0	0	237	0	"2015-10-15T22:45:35.341Z"
6807	"f"	"8vfXyBuTAC"	13	4	86	3	1	"wait"	8	1	0	"left"	1471	1	0	0	694	3	"2015-10-15T22:54:10.303Z"
6808	"f"	"m9ncUQfmjD"	11	2	112	1	1	"right"	11	3	1	"left"	354	1	0	0	314	0	"2015-10-15T22:54:32.772Z"
6809	"s"	"Zh1MLlISAE"	18	2	182	2	1	"right"	17	4	1	"wait"	730	1	0	0	635	0	"2015-10-15T22:54:21.744Z"
6810	"f"	"cg30Fxw2CY"	17	11	201	3	0	"up"	16	2	1	"left"	472	0	0	0	279	0	"2015-10-15T22:45:36.122Z"
6811	"s"	"EaivrqabCG"	9	5	71	2	1	"wait"	3	3	1	"wait"	1083	1	0	0	464	0	"2015-10-15T22:56:41.504Z"
6812	"s"	"kwqyT4jpAf"	15	0	71	0	1	"left"	0	4	1	"left"	247304	0	0	0	104	0	"2015-10-15T22:54:22.405Z"
6813	"f"	"8vfXyBuTAC"	13	5	87	3	1	"right"	8	0	0	"up"	936	0	1	1	493	2	"2015-10-15T22:54:11.567Z"
6814	"f"	"m9ncUQfmjD"	11	3	113	1	1	"down"	11	3	1	"left"	876	0	0	0	225	0	"2015-10-15T22:54:33.964Z"
6815	"s"	"Zh1MLlISAE"	18	3	183	3	1	"right"	17	4	1	"wait"	918	1	0	0	587	0	"2015-10-15T22:54:22.980Z"
6816	"s"	"kwqyT4jpAf"	15	1	72	0	1	"left"	0	3	1	"left"	266	0	0	0	198	1	"2015-10-15T22:54:22.985Z"
6817	"f"	"m9ncUQfmjD"	11	4	114	1	0	"right"	11	2	1	"up"	346	0	0	0	256	0	"2015-10-15T22:54:34.633Z"
6818	"f"	"cg30Fxw2CY"	17	12	202	3	1	"right"	16	1	1	"left"	1119	0	1	1	273	0	"2015-10-15T22:45:37.551Z"
6819	"s"	"kwqyT4jpAf"	15	2	73	0	1	"up"	0	2	1	"left"	154	0	0	0	99	0	"2015-10-15T22:54:23.446Z"
6820	"s"	"EaivrqabCG"	9	6	72	2	1	"wait"	3	3	1	"wait"	1384	1	0	0	385	0	"2015-10-15T22:56:43.196Z"
6821	"s"	"Zh1MLlISAE"	18	4	184	3	1	"wait"	17	4	1	"up"	873	1	0	0	628	0	"2015-10-15T22:54:24.171Z"
6822	"s"	"kwqyT4jpAf"	15	3	74	0	2	"right"	0	1	1	"left"	416	0	0	1	100	0	"2015-10-15T22:54:24.168Z"
6823	"f"	"m9ncUQfmjD"	11	5	115	2	0	"right"	11	2	2	"left"	421	0	0	0	388	0	"2015-10-15T22:54:35.380Z"
6824	"s"	"xU9jhFf4Ot"	1	3	10	2	1	"right"	1	3	2	"down"	2595	1	0	0	1634	0	"2015-10-15T22:54:23.806Z"
6825	"f"	"m9ncUQfmjD"	11	6	116	3	0	"right"	11	1	2	"down"	404	0	0	0	285	0	"2015-10-15T22:54:36.103Z"
6826	"s"	"EaivrqabCG"	9	7	73	2	1	"right"	3	3	1	"wait"	958	1	0	0	390	0	"2015-10-15T22:56:44.473Z"
6827	"s"	"Zh1MLlISAE"	18	5	185	3	1	"right"	17	4	2	"down"	740	1	0	0	683	0	"2015-10-15T22:54:25.228Z"
6828	"f"	"m9ncUQfmjD"	11	7	117	4	0	"up"	11	1	1	"left"	370	0	1	1	234	0	"2015-10-15T22:54:36.819Z"
6829	"s"	"Zh1MLlISAE"	18	6	186	3	1	"wait"	17	4	2	"down"	900	1	0	0	686	0	"2015-10-15T22:54:26.450Z"
6830	"f"	"cg30Fxw2CY"	18	0	203	0	1	"right"	17	4	1	"left"	497	0	0	0	258	0	"2015-10-15T22:45:40.614Z"
6831	"f"	"cg30Fxw2CY"	18	1	204	1	1	"right"	17	3	1	"up"	267	0	0	0	248	0	"2015-10-15T22:45:41.192Z"
6832	"s"	"kwqyT4jpAf"	16	0	75	0	1	"right"	0	4	1	"left"	860	0	0	0	200	1	"2015-10-15T22:54:27.588Z"
6833	"f"	"cg30Fxw2CY"	18	2	205	2	1	"right"	17	3	2	"down"	385	1	0	0	245	0	"2015-10-15T22:45:41.885Z"
6834	"s"	"Zh1MLlISAE"	18	7	187	3	1	"right"	17	4	1	"up"	988	0	1	0	965	0	"2015-10-15T22:54:27.757Z"
6835	"s"	"EaivrqabCG"	9	8	74	2	1	"up"	3	3	1	"left"	2539	0	0	0	382	0	"2015-10-15T22:56:47.320Z"
6836	"f"	"cg30Fxw2CY"	18	3	206	2	1	"right"	17	3	2	"down"	353	1	0	0	244	0	"2015-10-15T22:45:42.553Z"
